grid,name,latitude,longitude,Venue Category
"11,6", ,48.8914269,2.242481,Retail
"12,6", ,48.8914024,2.2425587,Retail
"12,6", ,48.8913856,2.2426113,Retail
"11,6", ,48.8911867,2.2424695,Retail
"12,6", ,48.8910903,2.2427745,Retail
"12,6", ,48.8910758,2.2428205,Retail
"12,6", ,48.8910529,2.2428925,Retail
"12,6", ,48.8909059,2.2427849,Retail
"11,6", ,48.8911405,2.2420475,Retail
"11,6", ,48.8912869,2.2421552,Retail
"11,6", ,48.8912746,2.2421937,Retail
"11,6", ,48.891299,2.2422117,Retail
"11,6", ,48.8913289,2.2422336,Retail
"11,6", ,48.8913702,2.2421023,Retail
"11,6", ,48.8913839,2.2420595,Retail
"11,6", ,48.8914567,2.2418314,Retail
"10,6", ,48.8917047,2.2410479,Retail
"10,6", ,48.8917078,2.241038,Retail
"10,6", ,48.8914663,2.2408624,Retail
"10,6", ,48.8915588,2.2405663,Retail
"8,12",Apollonia,48.8966134,2.2369344,Retail
"8,12",Apollonia,48.8966305,2.2369961,Retail
"8,12",Apollonia,48.8966447,2.2370492,Retail
"8,12",Apollonia,48.8966519,2.237076,Retail
"8,12",Apollonia,48.8966577,2.2370976,Retail
"8,12",Apollonia,48.8966715,2.2371488,Retail
"8,12",Apollonia,48.8966932,2.2372296,Retail
"8,12",Apollonia,48.8966986,2.2372496,Retail
"8,12",Apollonia,48.8967109,2.2372952,Retail
"8,12",Apollonia,48.8967268,2.2373546,Retail
"8,12",Apollonia,48.8967444,2.2374202,Retail
"8,12",Apollonia,48.8967621,2.237486,Retail
"8,12",Apollonia,48.8967784,2.2375467,Retail
"8,12",Apollonia,48.8967967,2.2376145,Retail
"8,12",Apollonia,48.8968034,2.2376396,Retail
"8,12",Apollonia,48.8967955,2.2376448,Retail
"8,12",Apollonia,48.8968084,2.2376972,Retail
"8,12",Apollonia,48.8968109,2.2377076,Retail
"8,12",Apollonia,48.8968109,2.2377212,Retail
"8,12",Apollonia,48.8968087,2.2377316,Retail
"8,12",Apollonia,48.8968034,2.2377422,Retail
"8,12",Apollonia,48.8967987,2.2377472,Retail
"8,12",Apollonia,48.8967888,2.2377506,Retail
"8,12",Apollonia,48.8967782,2.2377487,Retail
"8,12",Apollonia,48.8967535,2.2377641,Retail
"8,12",Apollonia,48.8967444,2.2377807,Retail
"8,12",Apollonia,48.8967705,2.2378132,Retail
"8,12",Apollonia,48.8967351,2.2378768,Retail
"8,12",Apollonia,48.8967528,2.2378986,Retail
"8,12",Apollonia,48.8966902,2.2379973,Retail
"8,12",Apollonia,48.89666,2.2379949,Retail
"8,12",Apollonia,48.8966023,2.2379905,Retail
"8,12",Apollonia,48.8966031,2.2379741,Retail
"8,12",Apollonia,48.8964501,2.2379613,Retail
"8,12",Apollonia,48.896291,2.237948,Retail
"8,11",Apollonia,48.8962053,2.237731,Retail
"8,11",Apollonia,48.8962085,2.2377016,Retail
"8,11",Apollonia,48.8961965,2.2376806,Retail
"8,11",Apollonia,48.8961794,2.2376738,Retail
"8,11",Apollonia,48.8961415,2.2374564,Retail
"8,11",Apollonia,48.8961485,2.237454,Retail
"8,11",Apollonia,48.896155,2.2374276,Retail
"8,11",Apollonia,48.8961658,2.2374334,Retail
"8,11",Apollonia,48.8961768,2.2373866,Retail
"8,11",Apollonia,48.8961653,2.237381,Retail
"8,11",Apollonia,48.8961757,2.2373378,Retail
"8,12",Apollonia,48.8962665,2.2373855,Retail
"8,12",Apollonia,48.8962635,2.2373984,Retail
"8,12",Apollonia,48.896288,2.2374116,Retail
"8,12",Apollonia,48.8963412,2.2374408,Retail
"8,12",Apollonia,48.8963356,2.2374652,Retail
"8,12",Apollonia,48.896362,2.2374795,Retail
"8,12",Apollonia,48.8963245,2.2376591,Retail
"8,12",Apollonia,48.89638,2.2377961,Retail
"8,12",Apollonia,48.8963991,2.2377969,Retail
"8,12",Apollonia,48.8963994,2.2377642,Retail
"8,12",Apollonia,48.8965767,2.2377707,Retail
"8,12",Apollonia,48.8965764,2.2378148,Retail
"8,12",Apollonia,48.8966015,2.2378166,Retail
"8,12",Apollonia,48.8966893,2.2376565,Retail
"8,12",Apollonia,48.8966744,2.2376218,Retail
"8,12",Apollonia,48.8966714,2.2376236,Retail
"8,12",Apollonia,48.8965903,2.2373171,Retail
"8,12",Apollonia,48.8965691,2.2373307,Retail
"8,12",Apollonia,48.8965678,2.2373432,Retail
"8,12",Apollonia,48.8965522,2.2373411,Retail
"8,12",Apollonia,48.896536,2.2373522,Retail
"8,12",Apollonia,48.8964236,2.2373398,Retail
"8,12",Apollonia,48.8964255,2.2372989,Retail
"8,12",Apollonia,48.8964289,2.237217,Retail
"8,12",Apollonia,48.8964136,2.2372155,Retail
"8,12",Apollonia,48.8964036,2.2371731,Retail
"8,12",Apollonia,48.8964125,2.2371669,Retail
"8,12",Apollonia,48.8965332,2.2370838,Retail
"8,12",Apollonia,48.8965131,2.237023,Retail
"8,12",Apollonia,48.8965096,2.2370126,Retail
"8,12",Apollonia,48.8966134,2.2369344,Retail
"18,11", ,48.8956362,2.2511461,Retail
"18,11", ,48.8956791,2.2511505,Retail
"18,11", ,48.8957129,2.2511639,Retail
"18,11", ,48.8957448,2.251186,Retail
"18,11", ,48.8957629,2.2512044,Retail
"18,11", ,48.8957973,2.2512497,Retail
"18,11", ,48.895826,2.2513033,Retail
"18,11", ,48.8958481,2.2513635,Retail
"18,11", ,48.8958596,2.2514101,Retail
"18,11", ,48.8958648,2.2514933,Retail
"18,11", ,48.8958639,2.2515824,Retail
"18,11", ,48.8958557,2.2516424,Retail
"18,11", ,48.895842,2.2516927,Retail
"18,11", ,48.8958226,2.2517392,Retail
"18,11", ,48.8957991,2.251717,Retail
"18,11", ,48.8957947,2.2517246,Retail
"18,11", ,48.8958076,2.2517606,Retail
"18,11", ,48.8957913,2.2517773,Retail
"18,11", ,48.8957741,2.2517903,Retail
"18,11", ,48.8957624,2.2517992,Retail
"18,11", ,48.8957109,2.2518045,Retail
"18,11", ,48.8956624,2.2518031,Retail
"18,11", ,48.8956142,2.2517922,Retail
"18,11", ,48.895553,2.2517526,Retail
"18,11", ,48.8955041,2.2516892,Retail
"18,11", ,48.895465,2.2516089,Retail
"18,11", ,48.8954429,2.251494,Retail
"18,11", ,48.8954403,2.2514118,Retail
"18,11", ,48.8954501,2.2513384,Retail
"18,11", ,48.8954626,2.2512833,Retail
"18,11", ,48.8954692,2.2512664,Retail
"18,11", ,48.8954736,2.2512552,Retail
"18,11", ,48.8954923,2.2512202,Retail
"18,11", ,48.8955152,2.2512485,Retail
"18,11", ,48.89552,2.2512399,Retail
"18,11", ,48.8955063,2.2512032,Retail
"18,11", ,48.8955445,2.2511747,Retail
"18,11", ,48.8955895,2.2511543,Retail
"18,11", ,48.8956362,2.2511461,Retail
"18,11", ,48.8956197,2.251317,Retail
"18,11", ,48.8955916,2.2513209,Retail
"18,11", ,48.8955864,2.2513625,Retail
"18,11", ,48.8955851,2.2514022,Retail
"18,11", ,48.8955871,2.2514428,Retail
"18,11", ,48.8956099,2.2514359,Retail
"18,11", ,48.8956496,2.2515131,Retail
"18,11", ,48.8956398,2.2515349,Retail
"18,11", ,48.8956587,2.2515557,Retail
"18,11", ,48.8956907,2.2515686,Retail
"18,11", ,48.8957245,2.2515656,Retail
"18,11", ,48.8957349,2.2514794,Retail
"18,11", ,48.8957219,2.2514715,Retail
"18,11", ,48.8957089,2.2513933,Retail
"18,11", ,48.8957187,2.2513715,Retail
"18,11", ,48.8957011,2.2513467,Retail
"18,11", ,48.8956822,2.2513318,Retail
"18,11", ,48.8956529,2.2513199,Retail
"18,11", ,48.8956197,2.251317,Retail
"3,9",Terrasse Valmy,48.8936242,2.2301618,Retail
"3,9",Terrasse Valmy,48.8937027,2.2302894,Retail
"3,9",Terrasse Valmy,48.8937481,2.2303651,Retail
"3,9",Terrasse Valmy,48.8938341,2.2305021,Retail
"3,9",Terrasse Valmy,48.8938872,2.2305888,Retail
"3,9",Terrasse Valmy,48.8938747,2.2306287,Retail
"3,9",Terrasse Valmy,48.8938388,2.2307431,Retail
"3,9",Terrasse Valmy,48.8937977,2.2308761,Retail
"4,9",Terrasse Valmy,48.8936286,2.2314043,Retail
"4,9",Terrasse Valmy,48.8935852,2.2315445,Retail
"4,9",Terrasse Valmy,48.8935828,2.2315523,Retail
"4,9",Terrasse Valmy,48.8935483,2.2316629,Retail
"4,8",Terrasse Valmy,48.8935194,2.2317557,Retail
"4,8",Terrasse Valmy,48.8931818,2.2319501,Retail
"4,8",Terrasse Valmy,48.8927568,2.2321787,Retail
"4,8",Terrasse Valmy,48.8927517,2.2321692,Retail
"4,7",Terrasse Valmy,48.8924667,2.2323257,Retail
"4,8",Terrasse Valmy,48.8927293,2.2325265,Retail
"4,8",Terrasse Valmy,48.8927305,2.2325085,Retail
"4,8",Terrasse Valmy,48.8927172,2.2324979,Retail
"4,8",Terrasse Valmy,48.8927211,2.2324438,Retail
"4,8",Terrasse Valmy,48.8927248,2.2323878,Retail
"4,8",Terrasse Valmy,48.8927478,2.2323897,Retail
"4,8",Terrasse Valmy,48.8927443,2.2324998,Retail
"4,8",Terrasse Valmy,48.8928677,2.2325903,Retail
"4,8",Terrasse Valmy,48.892859,2.2326184,Retail
"4,8",Terrasse Valmy,48.892845,2.2326237,Retail
"5,8",Terrasse Valmy,48.8928096,2.2327366,Retail
"5,8",Terrasse Valmy,48.8927751,2.2327116,Retail
"4,8",Terrasse Valmy,48.8927914,2.2326595,Retail
"4,7",Terrasse Valmy,48.8923867,2.2323679,Retail
"4,7",Terrasse Valmy,48.8923332,2.2321295,Retail
"4,7",Terrasse Valmy,48.8924596,2.2320646,Retail
"4,7",Terrasse Valmy,48.892481,2.2321565,Retail
"4,8",Terrasse Valmy,48.8928562,2.2319633,Retail
"4,8",Terrasse Valmy,48.8928976,2.2318416,Retail
"4,8",Terrasse Valmy,48.8929691,2.2316273,Retail
"4,8",Terrasse Valmy,48.8931311,2.2317401,Retail
"4,8",Terrasse Valmy,48.8931386,2.2317165,Retail
"4,8",Terrasse Valmy,48.8931982,2.2316864,Retail
"4,8",Terrasse Valmy,48.8932615,2.2316564,Retail
"4,8",Terrasse Valmy,48.8933625,2.2316061,Retail
"4,8",Terrasse Valmy,48.893418,2.2314323,Retail
"4,8",Terrasse Valmy,48.8934507,2.2313261,Retail
"3,8",Terrasse Valmy,48.8935266,2.231083,Retail
"3,9",Terrasse Valmy,48.8936017,2.2308433,Retail
"3,8",Terrasse Valmy,48.8935352,2.2307971,Retail
"3,8",Terrasse Valmy,48.8934919,2.2307667,Retail
"3,8",Terrasse Valmy,48.8934647,2.2307462,Retail
"3,8",Terrasse Valmy,48.8934544,2.2307386,Retail
"3,8",Terrasse Valmy,48.8934441,2.2307311,Retail
"3,8",Terrasse Valmy,48.8935092,2.2305249,Retail
"3,8",Terrasse Valmy,48.8935356,2.2304414,Retail
"3,9",Terrasse Valmy,48.8936242,2.2301618,Retail
"3,9",Terrasse Valmy,48.8936327,2.2304058,Retail
"3,9",Terrasse Valmy,48.8936217,2.2304071,Retail
"3,9",Terrasse Valmy,48.8936049,2.2304178,Retail
"3,9",Terrasse Valmy,48.8935952,2.2304319,Retail
"3,9",Terrasse Valmy,48.893586,2.2304507,Retail
"3,8",Terrasse Valmy,48.8935254,2.2306378,Retail
"3,9",Terrasse Valmy,48.8935748,2.2306743,Retail
"3,9",Terrasse Valmy,48.8936402,2.2307196,Retail
"3,9",Terrasse Valmy,48.8936993,2.2305271,Retail
"3,9",Terrasse Valmy,48.8937014,2.2304905,Retail
"3,9",Terrasse Valmy,48.8936962,2.2304614,Retail
"3,9",Terrasse Valmy,48.8936869,2.2304413,Retail
"3,9",Terrasse Valmy,48.8936759,2.2304252,Retail
"3,9",Terrasse Valmy,48.8936676,2.2304174,Retail
"3,9",Terrasse Valmy,48.8936621,2.2304142,Retail
"3,9",Terrasse Valmy,48.893649,2.2304084,Retail
"3,9",Terrasse Valmy,48.8936327,2.2304058,Retail
"3,9",Terrasse Valmy,48.8936589,2.2308382,Retail
"3,9",Terrasse Valmy,48.8935438,2.2312075,Retail
"3,9",Terrasse Valmy,48.8936318,2.2312709,Retail
"3,9",Terrasse Valmy,48.8937469,2.2309016,Retail
"3,9",Terrasse Valmy,48.8936589,2.2308382,Retail
"4,8",Terrasse Valmy,48.8934473,2.2315126,Retail
"4,8",Terrasse Valmy,48.8933932,2.2316849,Retail
"4,8",Terrasse Valmy,48.8934793,2.2317474,Retail
"4,8",Terrasse Valmy,48.8935334,2.2315751,Retail
"4,8",Terrasse Valmy,48.8934473,2.2315126,Retail
"4,8",Terrasse Valmy,48.8930659,2.2317971,Retail
"4,8",Terrasse Valmy,48.8929885,2.2318375,Retail
"4,8",Terrasse Valmy,48.892998,2.2318795,Retail
"4,8",Terrasse Valmy,48.8930754,2.2318391,Retail
"4,8",Terrasse Valmy,48.8930659,2.2317971,Retail
"0,4",Parking Serpent,48.8894224,2.2256917,Landmarks and Outdoors
"0,4",Parking Serpent,48.8894369,2.2257403,Landmarks and Outdoors
"0,4",Parking Serpent,48.8894549,2.2257858,Landmarks and Outdoors
"0,4",Parking Serpent,48.8894559,2.2257878,Landmarks and Outdoors
"0,4",Parking Serpent,48.8894834,2.2258348,Landmarks and Outdoors
"0,4",Parking Serpent,48.8895158,2.2258778,Landmarks and Outdoors
"0,4",Parking Serpent,48.8895353,2.2258989,Landmarks and Outdoors
"0,4",Parking Serpent,48.8895495,2.2259119,Landmarks and Outdoors
"0,4",Parking Serpent,48.8895757,2.2259323,Landmarks and Outdoors
"0,4",Parking Serpent,48.8895975,2.2259458,Landmarks and Outdoors
