id,datetime,year,month,day_of_month,day_of_week,hour,minute,second,text,user_id,name,follower_count,status_count,lat,lng,grid,keywords,type
1488556213268795393,"February 01, 2022 16:53:51",2022.0,2.0,1.0,1.0,16.0,53.0,51.0,Du coup le dernier d'une épreuve est dans la sauce ? Faut être sportif pro pour espérer gagner ?,1193296400.0,Jmj,62.0,1719.0,48.89630216772828,2.25299666155788,"19,12","event, hope, win",Arts and Entertainment
1488556297616302083,"February 01, 2022 16:54:12",2022.0,2.0,1.0,1.0,16.0,54.0,12.0,"Finalement c'est pour faire le buzz.
Comment en sont-ils arrivés là ?
C'est quand même une élection présidentielle. https://t.co/ZXGIiGNcyo",64167140.0,COURTAIGNE Goulven #vacciné 3 fois.,545.0,34533.0,48.89659379807208,2.253287337112904,"19,12","make, buzz, get, http, //t.co/zxgiigncyo",
1488556543838674945,"February 01, 2022 16:55:10",2022.0,2.0,1.0,1.0,16.0,55.0,10.0,"Art Paris Photos :
Vogue le navire
---
ArtSperger - l'oeil en clic
---
#paris #seine #bergesdeseine #peniche #boat… https://t.co/Nv8BBzLAKY",1.462979982271996e+18,ArtSperger,61.0,1755.0,48.89579233320181,2.2528576975590977,"19,11","art, photo, vogu, ship, eye, click, sein, bergesdesein, boat…, http, //t.co/nv8bbzlaki",Arts and Entertainment
1488556576281616392,"February 01, 2022 16:55:18",2022.0,2.0,1.0,1.0,16.0,55.0,18.0,@trendytraash cet épisode c’est le chaos,9.493172699219148e+17,alia blue ☁️,201.0,2721.0,48.89634107144031,2.253605824442796,"19,11","trendytraash, episod, chao",
1488556623769612288,"February 01, 2022 16:55:29",2022.0,2.0,1.0,1.0,16.0,55.0,29.0,@nicolasberrod A Paris et Idf il n'y a .plus de Delta! Alors pourquoi pousser à la 3eme.dose qui ne fait d entreten… https://t.co/vPJspqObd8,440748336.0,KINGDHARMA,103.0,6223.0,48.894837886669634,2.253227834135185,"19,10","idf, delta, push, http, //t.co/vpjspqobd8",Community and Government
1488556623769612288,"February 01, 2022 16:55:29",2022.0,2.0,1.0,1.0,16.0,55.0,29.0,@nicolasberrod A Paris et Idf il n'y a .plus de Delta! Alors pourquoi pousser à la 3eme.dose qui ne fait d entreten… https://t.co/vPJspqObd8,440748336.0,KINGDHARMA,103.0,6223.0,48.89481176303395,2.2531733286083644,"19,10","idf, delta, push, http, //t.co/vpjspqobd8",Community and Government
1488556677557280768,"February 01, 2022 16:55:42",2022.0,2.0,1.0,1.0,16.0,55.0,42.0,"— Quand @BensettiRayane et #sadeckwaff nous lancent cette petite démo de danse ❤️‍🔥 🙃

→ 𝗩𝗼𝘂𝘀 𝗸𝗶𝗳𝗳𝗲𝘇 ? 𝗔𝗹𝗼𝗿𝘀 𝗮̀ 𝘃𝗼𝘂… https://t.co/9sSXVPhAG2",7.159621367621386e+17,𝐑𝐀𝐘𝐀𝐍𝐄 𝐁𝐄𝐍𝐒𝐄𝐓𝐓𝐈 𝐅𝐀𝐍 ♡,605.0,2610.0,48.895124300712816,2.2534611521720693,"19,10","sadeckwaff, throw, littl, danc, demo, http, //t.co/9ssxvphag2",
1488556888212094977,"February 01, 2022 16:56:32",2022.0,2.0,1.0,1.0,16.0,56.0,32.0,Vient de publier une photo à Rue de la Butte-aux-Cailles https://t.co/73ZAsXP13K,351713888.0,GUERIN Jerome,242.0,6423.0,48.827718,2.349921,"19,9",,
1488556888212094977,"February 01, 2022 16:56:32",2022.0,2.0,1.0,1.0,16.0,56.0,32.0,Vient de publier une photo à Rue de la Butte-aux-Cailles https://t.co/73ZAsXP13K,351713888.0,GUERIN Jerome,242.0,6423.0,48.827718,2.349921,"19,9",,
1488557023948115970,"February 01, 2022 16:57:05",2022.0,2.0,1.0,1.0,16.0,57.0,5.0,"@sightsofsierra @BraydenCreation Merci beaucoup, thanks a lot :)",1.389210001647018e+18,Stéphan Hellin,274.0,1044.0,48.89363376844359,2.2530066047843,"19,9","sightsofsierra, braydencr, thank, lot",Landmarks and Outdoors
