email Count,x,y,latitude,longitude
345,1260.326219,1441.26328,48.90446299,2.249619713
137,1245.989181,1170.392689,48.90440204,2.24370568
336,1231.923021,1426.653979,48.90434224,2.249300742
139,1230.876998,1122.249824,48.9043378,2.242654557
4,1230.639975,803.7352945,48.90433679,2.235700294
3,1228.815403,779.7823354,48.90432903,2.235177319
466,1212.305037,937.8253521,48.90425884,2.238627939
352,1205.749497,853.6222168,48.90423097,2.236789496
346,1203.246427,1474.122569,48.90422033,2.250337144
200,1200.436691,1147.324969,48.90420839,2.243202033
2,1197.129516,746.6212229,48.90419433,2.234453298
144,1179.092587,1391.997629,48.90411765,2.248544075
1,1171.091127,739.7607694,48.90408363,2.234303511
145,1156.544954,1400.928674,48.90402179,2.24873907
143,1155.634287,1433.048691,48.90401792,2.24944036
222,1153.647826,705.9045674,48.90400947,2.233564314
270,1149.52616,1512.88764,48.90399195,2.251183518
687,1144.816432,1638.548195,48.90397193,2.253927118
696,1142.903602,1008.608329,48.9039638,2.240173374
463,1141.207948,1016.626733,48.90395659,2.240348443
686,1135.421684,1637.069877,48.90393199,2.253894841
141,1131.353295,1454.433712,48.90391469,2.249907268
420,1111.830227,468.647043,48.9038317,2.22838417
268,1101.786373,1283.695081,48.903789,2.246179459
271,1099.232853,1527.504267,48.90377814,2.251502649
462,1099.119504,944.0034153,48.90377766,2.238762827
347,1097.804818,485.0510656,48.90377207,2.228742326
266,1096.206154,1354.869325,48.90376527,2.247733437
142,1094.594639,1482.184417,48.90375842,2.250513161
464,1094.19684,1022.357679,48.90375673,2.240473569
220,1090.814441,685.7922465,48.90374235,2.233125193
681,1089.475282,1629.809427,48.90373666,2.253736321
221,1089.341159,666.3311481,48.90373609,2.232700291
697,1085.702414,1076.322532,48.90372062,2.241651807
140,1079.412139,1433.971234,48.90369388,2.249460502
424,1078.311151,386.4871109,48.9036892,2.226590337
683,1076.522964,1651.510163,48.90368159,2.254210122
267,1070.681563,1333.770411,48.90365676,2.247272775
272,1065.81817,1550.148165,48.90363609,2.251997043
265,1063.405401,1438.611408,48.90362583,2.249561813
679,1061.310998,1584.916083,48.90361692,2.252756145
465,1054.8598,1049.642181,48.9035895,2.241069283
685,1047.739921,1630.64355,48.90355923,2.253754533
547,1039.036537,655.5362318,48.90352223,2.232464601
680,1034.475906,1590.344179,48.90350284,2.252874659
684,1029.183341,1619.704667,48.90348034,2.253515699
264,1024.558448,1480.901873,48.90346068,2.250485159
421,1022.825682,440.010149,48.90345331,2.227758928
375,1016.235309,1567.696363,48.9034253,2.25238018
682,1013.069568,1555.4416,48.90341184,2.252112616
349,1005.805689,420.0336607,48.90338096,2.227322773
348,1001.827088,505.9941415,48.90336404,2.229199585
410,994.3293176,611.0180324,48.90333217,2.231492616
385,987.1781456,1037.773455,48.90330177,2.240810148
409,981.5826675,592.8075831,48.90327798,2.231095019
386,968.8414375,1119.606399,48.90322381,2.242596842
350,946.8779424,460.038904,48.90313044,2.228196225
351,943.2866284,449.7021589,48.90311517,2.227970538
408,928.497436,548.8286836,48.9030523,2.23013481
423,917.2075814,385.3186161,48.9030043,2.226564825
384,914.6989268,1114.638081,48.90299364,2.242488366
549,910.2861749,420.5696132,48.90297488,2.227334475
98,909.351869,1904.895627,48.9029709,2.259742394
422,906.7876219,440.7874136,48.90296,2.227775899
411,898.7757745,577.3875469,48.90292594,2.230758347
383,887.5586586,970.9542473,48.90287826,2.239351256
548,874.8319184,417.570324,48.90282415,2.22726899
97,846.8589064,1801.962739,48.90270523,2.257495017
382,845.5691467,927.143469,48.90269975,2.238394717
94,840.100032,1888.220837,48.9026765,2.259378327
283,832.762989,1875.458792,48.9026453,2.259099688
289,826.9420673,1976.626421,48.90262056,2.261308523
