grid,name,fclass,latitude,longitude,Venue Category
"19,12",Le Timgad,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8967364,2.2529186,Business and Professional Services
"18,4",Dubble La Défense Alto | Healthy Food,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8897295,2.2511606,Retail
"7,6",Five Guys La Défense,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8914579,2.236309,Retail
"8,12",Toast and Pizz,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",48.8964139,2.2372145,Retail
"9,11",edf contact demenagement,"['moving_company', 'point_of_interest', 'establishment']",48.8958598,2.2394345,Business and Professional Services
"2,0",Taxi animalier,"['moving_company', 'point_of_interest', 'establishment']",48.8863174,2.2291422,Business and Professional Services
"10,4",Touax Rail,"['moving_company', 'point_of_interest', 'establishment']",48.8890611,2.240696,Business and Professional Services
"17,7",Parc Diderot,"['park', 'point_of_interest', 'establishment']",48.8919908,2.2505953,Landmarks and Outdoors
"18,3",[P] Garage À Vélos,"['parking', 'point_of_interest', 'establishment']",48.8882295,2.2514764,Travel and Transportation
"6,0",3 Rue Lavoisier Parking,"['parking', 'point_of_interest', 'establishment']",48.8860756,2.2347332,Travel and Transportation
"17,11",Capricorne,"['parking', 'point_of_interest', 'establishment']",48.8961134,2.250399,Travel and Transportation
"9,12",COURBEVOIE- PARKING JACQUES CARTIER,"['parking', 'point_of_interest', 'establishment']",48.8970084,2.2387035,Travel and Transportation
"19,10",Fontanes,"['parking', 'point_of_interest', 'establishment']",48.894594,2.2529495,Travel and Transportation
"9,11",Onepark - Parking Courbevoie - Public Urbis Park Jacques Cartier,"['parking', 'point_of_interest', 'establishment']",48.8957867,2.2394361,Travel and Transportation
"7,3",Parking Basalte,"['parking', 'point_of_interest', 'establishment']",48.8888526,2.2356095,Travel and Transportation
"10,2",Parking Boieldieu,"['parking', 'point_of_interest', 'establishment']",48.8877454,2.2401777,Travel and Transportation
"10,9",Parking CNIT,"['parking', 'point_of_interest', 'establishment']",48.8938729,2.240491,Travel and Transportation
"11,3",Parking de la Patinoire,"['parking', 'point_of_interest', 'establishment']",48.8886877,2.2423141,Travel and Transportation
