zoom Count,x,y,longitude,latitude,real longitude,real latitude
371,2356.148866,2104.239431,48.90912164,2.264094752,48.89377775,2.225684
226,2031.607911,2100.987844,48.90774192,2.264023759,48.89237013,2.225736503
381,1959.195512,2098.687636,48.90743408,2.263973538,48.89205607,2.225773644
161,2122.524808,2090.793763,48.90812844,2.263801187,48.89276447,2.225901106
380,2317.2863,2076.480455,48.90895642,2.263488679,48.89360919,2.226132222
227,2056.773198,2071.950975,48.90784891,2.263389785,48.89247929,2.226205359
383,1986.954488,2062.600967,48.90755209,2.263185642,48.89217647,2.226356333
382,1923.108844,2062.600967,48.90728066,2.263185642,48.89189955,2.226356333
225,1999.667355,2058.400436,48.90760613,2.26309393,48.8922316,2.226424159
370,2558.789389,2051.497377,48.90998312,2.262943213,48.89465664,2.226535622
372,2317.2863,2048.72148,48.90895642,2.262882605,48.89360919,2.226580444
378,2131.301162,2048.72148,48.90816575,2.262882605,48.89280253,2.226580444
389,1351.780995,2048.72148,48.90485179,2.262882605,48.88942158,2.226580444
195,1300.744968,2047.903848,48.90463482,2.262864754,48.88920023,2.226593646
196,1317.992868,2045.551861,48.90470815,2.262813402,48.88927504,2.226631624
243,2250.849182,2042.889774,48.90867398,2.262755279,48.89332104,2.226674609
162,2491.719186,2040.827606,48.90969798,2.262710255,48.89436574,2.226707906
224,1955.144156,2040.010419,48.90741685,2.262692413,48.89203849,2.226721101
245,2610.906359,2036.114505,48.91020468,2.262607352,48.89488268,2.226784008
386,1643.25024,2032.066094,48.90609091,2.262518961,48.89068575,2.226849378
194,1355.624651,2028.303961,48.90486813,2.262436821,48.88943825,2.226910124
221,1897.567275,2025.491984,48.90717208,2.262375426,48.89178878,2.226955529
197,1308.584923,2023.599988,48.90466815,2.262334117,48.88923423,2.226986079
247,2603.163194,2019.660279,48.91017176,2.2622481,48.89484909,2.227049693
228,2037.912142,2017.231084,48.90776872,2.262195062,48.89239748,2.227088918
219,1670.260517,2016.67338,48.90620574,2.262182886,48.8908029,2.227097922
231,2021.457916,2016.263189,48.90769877,2.26217393,48.89232611,2.227104546
220,1882.080944,2012.909341,48.90710624,2.262100704,48.8917216,2.2271587
384,1989.730386,2012.634811,48.90756389,2.26209471,48.89218851,2.227163133
223,1924.171496,2010.97355,48.90728518,2.262058439,48.89190416,2.227189957
246,2586.708968,2009.981323,48.91010181,2.262036775,48.89477773,2.227205979
218,1626.356771,2009.61742,48.90601909,2.26202883,48.89061248,2.227211855
198,1318.776864,2007.920079,48.90471148,2.261991771,48.88927843,2.227239262
379,2186.819114,2007.083016,48.90840177,2.261973495,48.89304332,2.227252778
390,1412.850741,2007.083016,48.90511142,2.261973495,48.88968646,2.227252778
242,2242.138121,2003.206053,48.90863694,2.261888848,48.89328325,2.227315378
244,2638.007437,2002.238157,48.91031989,2.261867715,48.89500022,2.227331007
369,2456.081178,2001.531221,48.90954648,2.26185228,48.89421117,2.227342422
216,1601.268916,1999.425479,48.90591243,2.261806305,48.89050366,2.227376423
222,1901.438857,1999.358802,48.90718854,2.261804849,48.89180557,2.2273775
199,1325.048828,1999.296129,48.90473815,2.261803481,48.88930564,2.227378512
229,2025.329499,1998.841067,48.90771523,2.261793545,48.8923429,2.22738586
230,2008.875273,1997.873172,48.90764528,2.261772413,48.89227154,2.227401488
248,2615.745837,1997.398679,48.91022525,2.261762053,48.89490366,2.22740915
217,1596.564943,1985.313561,48.90589244,2.261498193,48.89048327,2.227604288
387,1654.353831,1979.32404,48.90613811,2.261367422,48.8907339,2.227700999
241,2231.491269,1977.072871,48.90859168,2.261318271,48.89323707,2.227737349
391,1479.472283,1976.548143,48.90539464,2.261306814,48.8899754,2.227745822
385,1568.301006,1973.772245,48.90577228,2.261246207,48.89036068,2.227790644
11,2346.022632,1966.688538,48.90907859,2.261091545,48.89373382,2.227905025
240,2221.812313,1961.586541,48.90855053,2.260980151,48.89319509,2.227987406
214,1616.695141,1955.521733,48.90597801,2.260847736,48.89057057,2.228085334
200,1337.592755,1955.392383,48.90479147,2.260844912,48.88936004,2.228087422
213,1637.863018,1953.953742,48.90606801,2.260813501,48.89066239,2.228110652
201,1347.000701,1952.256401,48.90483147,2.260776442,48.88940085,2.228138059
254,2781.255991,1949.971793,48.91092888,2.260726562,48.89562152,2.228174948
163,2394.562771,1946.447089,48.90928494,2.260649605,48.89394435,2.228231862
377,2086.886801,1943.237372,48.90797693,2.260579526,48.8926099,2.228283689
215,1592.391281,1942.977806,48.90587469,2.260573859,48.89046516,2.22828788
255,2812.228652,1938.357045,48.91106056,2.260472972,48.89575586,2.228362491
29,1816.023961,1937.257489,48.90682542,2.260448965,48.89143511,2.228380245
116,1589.047848,1936.914591,48.90586048,2.260441478,48.89045066,2.228385782
207,1430.10422,1936.576491,48.90518477,2.260434096,48.88976129,2.228391242
249,2713.503297,1934.485463,48.91064085,2.260388442,48.89532767,2.228425005
12,2377.687296,1933.84384,48.9092132,2.260374433,48.89387116,2.228435365
388,1324.022019,1932.133781,48.90473378,2.260337097,48.88930119,2.228462977
232,2035.976351,1932.056268,48.90776049,2.260335404,48.89238908,2.228464229
250,2744.475957,1931.581776,48.91077252,2.260325044,48.895462,2.228471891
206,1397.17641,1926.38455,48.90504478,2.260211571,48.88961847,2.22855581
208,1437.944175,1924.816559,48.9052181,2.260177337,48.8897953,2.228581128
350,3072.330441,1923.806089,48.91216632,2.260155275,48.89688397,2.228597444
351,2919.656074,1923.806089,48.91151726,2.260155275,48.89622179,2.228597444
121,1714.911521,1922.589094,48.90639556,2.260128703,48.89099656,2.228617095
165,2364.027897,1921.46401,48.90915513,2.260104139,48.89381191,2.228635262
256,2870.30239,1919.967028,48.91130744,2.260071455,48.89600773,2.228659433
13,2330.469278,1918.104501,48.90901246,2.260030789,48.89366636,2.228689508
212,1541.431576,1917.889951,48.90565805,2.260026105,48.89024414,2.228692972
117,1684.937524,1917.736656,48.90626813,2.260022758,48.89086655,2.228695447
209,1513.207739,1916.976605,48.90553806,2.260006164,48.89012172,2.228707719
22,827.9846966,1916.342595,48.90262499,2.259992321,48.88714977,2.228717957
233,2023.393707,1913.666251,48.907707,2.259933887,48.89233451,2.228761172
352,2642.066316,1912.702498,48.91033715,2.259912845,48.89501783,2.228776733
239,2139.541184,1910.288072,48.90820078,2.25986013,48.89283827,2.228815719
24,564.0330607,1910.249902,48.90150286,2.259859297,48.88600495,2.228816335
253,2793.838634,1907.384385,48.91098237,2.259796733,48.89567609,2.228862604
23,708.6239868,1906.886801,48.90211756,2.259785869,48.88663208,2.228870638
251,2773.512826,1906.416489,48.91089596,2.2597756,48.89558793,2.228878233
252,2831.586564,1904.480698,48.91114285,2.259733335,48.89583981,2.22890949
210,1489.687875,1902.080691,48.90543807,2.259680935,48.89001971,2.228948243
211,1515.559726,1901.426046,48.90554806,2.259666642,48.89013193,2.228958813
139,1570.200137,1901.290359,48.90578035,2.259663679,48.89036891,2.228961004
205,1365.816592,1899.728705,48.90491146,2.259629583,48.88948246,2.22898622
238,2121.151167,1899.64122,48.9081226,2.259627673,48.89275851,2.228987632
71,585.1868798,1893.914247,48.90159279,2.259502633,48.8860967,2.229080106
87,3018.144136,1890.5599,48.91193596,2.259429396,48.89664896,2.229134268
237,2075.660072,1888.994368,48.9079292,2.259395216,48.8925612,2.229159546
495,684.3765503,1887.293106,48.90201447,2.259358071,48.88652691,2.229187017
202,1388.55246,1881.696809,48.90500812,2.259235885,48.88958107,2.22927738
373,1984.17859,1879.391727,48.90754029,2.259185557,48.89216443,2.2293146
68,732.7094582,1879.304093,48.90221995,2.259183644,48.88673654,2.229316015
204,1372.088555,1876.208841,48.90493812,2.259116064,48.88950966,2.229365993
494,702.5892143,1874.544241,48.9020919,2.25907972,48.8866059,2.229392872
166,2405.666361,1871.497854,48.90933215,2.259013207,48.89399251,2.229442061
120,1856.533197,1870.956192,48.90699763,2.25900138,48.8916108,2.229450808
236,2063.077429,1870.604351,48.90787571,2.258993698,48.89250663,2.229456489
376,1881.47038,1868.288137,48.90710365,2.258943128,48.89171896,2.229493888
119,1803.425068,1868.00574,48.90677185,2.258936962,48.89138045,2.229498448
67,688.4526847,1867.502287,48.9020318,2.25892597,48.88654459,2.229506578
181,753.1505935,1866.323534,48.90230685,2.258900234,48.8868252,2.229525611
86,3092.343879,1863.578175,48.9122514,2.258840293,48.89697077,2.22956994
69,807.9459732,1861.601384,48.9025398,2.258797133,48.88706286,2.229601859
164,2308.509946,1860.394264,48.90891911,2.258770777,48.89357112,2.229621351
203,1387.768465,1857.392949,48.90500478,2.258705248,48.88957766,2.229669813
10,2234.733935,1857.054299,48.90860547,2.258697854,48.89325114,2.229675281
235,2035.008455,1854.150125,48.90775638,2.258634446,48.89238489,2.229722174
182,785.0421178,1852.949669,48.90244243,2.258608236,48.88696352,2.229741558
368,2389.459637,1851.632752,48.90926325,2.258579484,48.89392222,2.229762822
367,2222.905782,1851.632752,48.90855518,2.258579484,48.89319983,2.229762822
178,726.9172428,1850.447318,48.90219532,2.258553601,48.88671141,2.229781963
180,755.7224906,1845.748357,48.90231778,2.258451007,48.88683635,2.229857837
66,605.8400407,1843.898674,48.90168059,2.258410622,48.88618628,2.229887704
234,2015.650542,1839.63169,48.90767408,2.258317459,48.89230092,2.229956602
179,803.4104316,1837.698453,48.90252052,2.25827525,48.88704319,2.229987818
496,757.2272063,1834.476381,48.90232418,2.258204901,48.88684288,2.230039845
141,1457.776285,1829.339094,48.90530241,2.258092737,48.88988131,2.230122796
185,793.6846899,1819.515007,48.90247917,2.257878243,48.887001,2.230281425
183,775.1670306,1814.371212,48.90240045,2.257765937,48.88692069,2.230364481
493,820.9715303,1810.799917,48.90259518,2.257687963,48.88711935,2.230422147
374,1950.86782,1804.442493,48.90739867,2.257549159,48.89201995,2.230524799
184,768.9944775,1803.054865,48.90237421,2.257518862,48.88689392,2.230547206
70,644.1959111,1802.450249,48.90184365,2.257505661,48.88635263,2.230556968
14,3020.774854,1801.700087,48.91194714,2.257489282,48.89666036,2.230569082
25,1664.869852,1800.687124,48.90618282,2.257467166,48.89077952,2.230585437
21,2825.044287,1789.918068,48.91111504,2.257232041,48.89581144,2.230759324
334,2633.738623,1787.787107,48.91030175,2.257185514,48.89498171,2.230793733
20,2870.013828,1785.421114,48.91130622,2.257133857,48.89600649,2.230831936
140,1507.24278,1782.121076,48.9055127,2.257061806,48.89009585,2.230885222
9,2084.085973,1780.266906,48.90796502,2.257021323,48.89259774,2.230915161
364,2367.252456,1773.907619,48.90916884,2.256882478,48.8938259,2.231017844
157,1421.800652,1773.127168,48.90514946,2.256865438,48.88972527,2.231030446
260,2443.82358,1772.846891,48.90949436,2.256859318,48.894158,2.231034972
258,2725.118044,1771.878996,48.91069022,2.256838186,48.89537803,2.2310506
259,2698.984862,1769.943205,48.91057913,2.256795921,48.8952647,2.231081857
329,2616.786575,1765.344242,48.91022968,2.25669551,48.89490818,2.231156116
123,1812.026632,1762.135525,48.90680842,2.256625453,48.89141776,2.231207927
118,1559.543332,1759.887497,48.90573505,2.25657637,48.8903227,2.231244226
8,2111.562363,1758.07634,48.90808183,2.256536827,48.89271692,2.231273471
366,2253.440655,1748.924541,48.90868499,2.256337012,48.89333227,2.231421244
15,2996.041607,1747.736638,48.91184199,2.256311076,48.89655309,2.231440425
261,2337.355059,1739.93844,48.90904174,2.256140814,48.89369623,2.231566342
85,1986.614494,1736.306186,48.90755064,2.25606151,48.89217499,2.231624992
330,2594.658188,1734.3645,48.9101356,2.256019116,48.8948122,2.231656344
167,2608.306884,1732.702975,48.91019363,2.255982839,48.8948714,2.231683173
122,1668.778843,1731.738588,48.90619944,2.255961783,48.89079647,2.231698745
353,2630.962726,1726.717361,48.91028994,2.255852153,48.89496966,2.231779822
375,1903.677561,1726.717361,48.90719806,2.255852153,48.89181528,2.231779822
84,1932.651045,1709.324462,48.90732123,2.255472406,48.89194094,2.232060664
257,2651.557976,1704.126301,48.9103775,2.255358913,48.89505899,2.232144598
328,2616.786575,1701.909533,48.91022968,2.255310513,48.89490818,2.232180392
17,2878.64798,1700.271288,48.91134292,2.255274744,48.89604393,2.232206845
63,1431.895577,1690.203178,48.90519238,2.255054923,48.88976906,2.232369414
18,3034.152651,1688.736601,48.91200402,2.255022903,48.89671839,2.232393094
266,2408.979337,1684.768389,48.90934623,2.254936263,48.89400688,2.232457169
138,2244.239474,1683.481098,48.90864588,2.254908157,48.89329237,2.232477955
72,639.7702338,1680.006509,48.90182484,2.254832295,48.88633344,2.232534059
156,2503.29823,1678.02286,48.90974721,2.254788985,48.89441596,2.232566089
42,2141.968153,1677.867931,48.90821109,2.254785602,48.89284879,2.232568591
73,687.1402486,1672.63038,48.90202622,2.254671249,48.88653889,2.232653161
16,2849.417778,1671.041087,48.91121866,2.254636549,48.89591716,2.232678823
265,2387.685633,1667.346267,48.90925571,2.254555878,48.89391453,2.232738483
192,723.3587658,1666.404691,48.9021802,2.254535321,48.88669599,2.232753686
365,2283.975529,1665.647614,48.90881481,2.254518791,48.89346471,2.232765911
19,2989.183111,1664.003354,48.91181284,2.254482891,48.89652335,2.232792461
267,2471.892553,1657.667311,48.90961369,2.254344554,48.89427974,2.232894768
331,2236.178323,1653.227082,48.90861161,2.254247608,48.8932574,2.232966465
191,755.2502901,1653.030825,48.90231578,2.254243323,48.88683431,2.232969634
62,1463.374255,1651.979068,48.90532621,2.25422036,48.88990559,2.232986616
491,697.1254151,1650.528474,48.90206867,2.254188688,48.8865822,2.233010039
173,1060.001826,1645.948632,48.90361136,2.254088695,48.88815608,2.233083989
193,725.9306629,1645.829514,48.90219113,2.254086094,48.88670714,2.233085912
264,2363.488242,1643.148876,48.90915284,2.254027567,48.89380958,2.233129196
171,1048.976033,1642.83927,48.90356448,2.254020807,48.88810825,2.233134196
268,2486.410988,1642.180981,48.90967542,2.254006434,48.89434272,2.233144825
64,1431.895577,1638.488206,48.90519238,2.253925808,48.88976906,2.233204452
490,773.6186039,1637.779609,48.90239386,2.253910337,48.88691397,2.233215894
363,2439.425793,1635.112741,48.90947567,2.25385211,48.89413893,2.233258956
76,499.786574,1629.848832,48.90122973,2.253737181,48.8857263,2.233343951
269,2506.736796,1627.662546,48.90976183,2.253689447,48.89443088,2.233379253
136,2258.457895,1625.221519,48.90870632,2.253636151,48.89335403,2.233418668
172,1020.569041,1622.049975,48.90344372,2.253566905,48.88798505,2.233469879
175,1069.561289,1620.855042,48.903652,2.253540816,48.88819754,2.233489173
186,763.8928622,1619.596163,48.90235252,2.25351333,48.88687179,2.233509501
271,1973.406532,1618.598611,48.90749449,2.25349155,48.8921177,2.233525608
485,478.4002446,1616.341088,48.90113881,2.253442261,48.88563354,2.23356206
190,745.3752029,1614.452369,48.90227379,2.253401024,48.88679147,2.233592557
189,717.0843345,1613.937989,48.90215352,2.253389793,48.88666877,2.233600863
169,1108.994074,1613.685444,48.90381964,2.253384279,48.88836857,2.23360494
170,1097.968281,1610.576082,48.90377276,2.253316391,48.88832074,2.233655147
492,682.5552839,1608.639347,48.90200673,2.253274105,48.88651901,2.23368642
75,486.509542,1606.245219,48.90117329,2.253221833,48.88566872,2.233725077
188,739.2026498,1603.136021,48.90224755,2.253153949,48.8867647,2.233775281
65,757.8411156,1601.16711,48.90232679,2.253110961,48.88684554,2.233807073
176,1030.128504,1596.956384,48.90348436,2.253019026,48.88802651,2.233875064
357,2000.833976,1596.250175,48.90761109,2.253003607,48.89223666,2.233886467
47,2157.393816,1595.118206,48.90827667,2.252978893,48.89291569,2.233904744
187,750.0046177,1593.877192,48.90229348,2.252951797,48.88681156,2.233924783
74,611.9037336,1592.968187,48.90170637,2.25293195,48.88621258,2.233939461
486,473.6205131,1591.247498,48.90111849,2.252894382,48.88561281,2.233967244
348,3100.089416,1590.698379,48.91228433,2.252882393,48.89700437,2.233976111
263,2354.777181,1584.107242,48.9091158,2.252738486,48.89377179,2.234082537
272,1974.881758,1578.767515,48.90750076,2.252621901,48.8921241,2.234168758
484,1012.0313,1574.451961,48.90340742,2.252527678,48.88794801,2.23423844
362,2517.150925,1571.267096,48.9098061,2.252458141,48.89447604,2.234289867
319,3063.765235,1567.368942,48.91212991,2.252373031,48.89684683,2.23435281
349,3041.795567,1565.715301,48.91203651,2.252336926,48.89675154,2.234379511
177,1030.128504,1564.693196,48.90348436,2.25231461,48.88802651,2.234396015
174,1010.896155,1564.227795,48.9034026,2.252304449,48.8879431,2.23440353
262,2379.942467,1561.845643,48.90922279,2.252252439,48.89388094,2.234441994
270,2463.181492,1549.262999,48.90957666,2.251977716,48.89424196,2.234645165
137,2422.445244,1546.399736,48.90940348,2.251915202,48.89406528,2.234691398
77,1045.561605,1540.851207,48.90354997,2.251794058,48.88809345,2.23478099
358,2003.609873,1540.732223,48.9076229,2.25179146,48.89224871,2.234782911
318,3013.578054,1537.495619,48.91191655,2.251720794,48.89662915,2.234835172
133,2650.411638,1536.639325,48.91037263,2.251702098,48.89505402,2.234848999
78,1094.244056,1533.475078,48.90375693,2.251633012,48.88830459,2.234900092
46,2211.357265,1532.500022,48.90850609,2.251611723,48.89314975,2.234915836
293,596.812023,1525.99159,48.90164221,2.251469622,48.88614712,2.235020927
360,2253.440655,1515.749145,48.90868499,2.251245994,48.89333227,2.235186311
320,2809.244531,1513.596962,48.91104787,2.251199005,48.89574291,2.235221062
61,1581.178931,1512.728754,48.90582703,2.251180049,48.89041654,2.235235081
79,1134.075152,1508.39624,48.90392626,2.251085455,48.88847734,2.235305038
292,557.3792378,1502.092933,48.90147457,2.250947832,48.88597609,2.235406817
60,1537.468537,1501.801156,48.9056412,2.250941462,48.89022695,2.235411528
114,2002.062915,1493.393455,48.90761632,2.250757893,48.892242,2.235547287
