OBJECTID,osm_id,code,fclass,name,longitude,latitude,grid
227,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2272838,48.8907,"1,5"
228,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2275835,48.8907286,"1,5"
229,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2278736,48.8906078,"1,5"
230,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2279956,48.8902376,"1,5"
231,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.228174,48.8902102,"1,5"
232,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2293691,48.8904307,"2,5"
233,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2297555,48.8904521,"2,5"
234,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.23002,48.890309,"3,5"
235,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.230022,48.8900136,"3,5"
236,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2298716,48.8899454,"2,5"
237,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.229741,48.8898442,"2,4"
238,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2297343,48.8897276,"2,4"
239,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.229747,48.8895582,"2,4"
240,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2286593,48.8885694,"2,3"
241,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2284295,48.8885448,"1,3"
242,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2281685,48.8884971,"1,3"
243,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2279657,48.8883423,"1,3"
244,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2280688,48.8880128,"1,2"
245,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.227728,48.8877756,"1,2"
246,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2274018,48.8879008,"1,2"
247,19643466,7203,residential,R¨¦sidence Aillaud 'Tours Nuages',2.2275599,48.8883781,"1,3"
249,25058403,7202,park,Parc de Freudenstadt,2.2493647,48.8943414,"16,9"
250,25058403,7202,park,Parc de Freudenstadt,2.2494343,48.894541,"16,10"
251,25058403,7202,park,Parc de Freudenstadt,2.2495037,48.8946431,"17,10"
252,25058403,7202,park,Parc de Freudenstadt,2.2495938,48.8947265,"17,10"
253,25058403,7202,park,Parc de Freudenstadt,2.249672,48.8947844,"17,10"
254,25058403,7202,park,Parc de Freudenstadt,2.249922,48.8949243,"17,10"
255,25058403,7202,park,Parc de Freudenstadt,2.2500424,48.8949061,"17,10"
256,25058403,7202,park,Parc de Freudenstadt,2.2504138,48.8946167,"17,10"
257,25058403,7202,park,Parc de Freudenstadt,2.2503948,48.8945568,"17,10"
258,25058403,7202,park,Parc de Freudenstadt,2.2505925,48.8943506,"17,9"
259,25058403,7202,park,Parc de Freudenstadt,2.2500009,48.8940884,"17,9"
260,25058403,7202,park,Parc de Freudenstadt,2.2498106,48.8940587,"17,9"
261,25058403,7202,park,Parc de Freudenstadt,2.2496448,48.8940783,"17,9"
262,25058403,7202,park,Parc de Freudenstadt,2.2495397,48.8941262,"17,9"
263,25058403,7202,park,Parc de Freudenstadt,2.2494638,48.8941823,"16,9"
264,25058403,7202,park,Parc de Freudenstadt,2.2493647,48.8943414,"16,9"
391,35602833,7203,residential,?le de Puteaux,2.2536428,48.8859134,"19,0"
491,43450719,7218,grass, ,2.2504364,48.8908942,"17,6"
492,43450719,7218,grass, ,2.2504711,48.890942,"17,6"
493,43450719,7218,grass, ,2.2505125,48.8909296,"17,6"
494,43450719,7218,grass, ,2.2505967,48.8909036,"17,6"
495,43450719,7218,grass, ,2.2505897,48.8908933,"17,6"
496,43450719,7218,grass, ,2.2506843,48.8908641,"17,6"
497,43450719,7218,grass, ,2.2506917,48.8908748,"17,6"
498,43450719,7218,grass, ,2.2508644,48.8908211,"17,5"
499,43450719,7218,grass, ,2.2508591,48.8908135,"17,5"
500,43450719,7218,grass, ,2.2509379,48.8907878,"18,5"
501,43450719,7218,grass, ,2.2510592,48.8908183,"18,5"
502,43450719,7218,grass, ,2.2511236,48.8907974,"18,5"
503,43450719,7218,grass, ,2.251302,48.8908419,"18,6"
504,43450719,7218,grass, ,2.2513378,48.8908871,"18,6"
505,43450719,7218,grass, ,2.2514538,48.8909144,"18,6"
506,43450719,7218,grass, ,2.2514927,48.890968,"18,6"
507,43450719,7218,grass, ,2.2514758,48.890973,"18,6"
508,43450719,7218,grass, ,2.2515586,48.8910861,"18,6"
509,43450719,7218,grass, ,2.251573,48.8910815,"18,6"
510,43450719,7218,grass, ,2.2516172,48.8911426,"18,6"
511,43450719,7218,grass, ,2.251601,48.8911476,"18,6"
512,43450719,7218,grass, ,2.2516361,48.8911945,"18,6"
513,43450719,7218,grass, ,2.2517332,48.8911656,"18,6"
514,43450719,7218,grass, ,2.2513584,48.8907124,"18,5"
515,43450719,7218,grass, ,2.2513416,48.8906983,"18,5"
516,43450719,7218,grass, ,2.2513266,48.8906884,"18,5"
517,43450719,7218,grass, ,2.2513095,48.89068,"18,5"
518,43450719,7218,grass, ,2.2512853,48.8906714,"18,5"
519,43450719,7218,grass, ,2.2512639,48.8906661,"18,5"
520,43450719,7218,grass, ,2.251239,48.8906626,"18,5"
521,43450719,7218,grass, ,2.2512213,48.8906611,"18,5"
522,43450719,7218,grass, ,2.2511991,48.8906613,"18,5"
523,43450719,7218,grass, ,2.2511804,48.8906628,"18,5"
524,43450719,7218,grass, ,2.2511639,48.8906655,"18,5"
525,43450719,7218,grass, ,2.2511482,48.890669,"18,5"
526,43450719,7218,grass, ,2.2510909,48.8906865,"18,5"
527,43450719,7218,grass, ,2.2504364,48.8908942,"17,6"
528,44781617,7202,park,Parc Diderot,2.2491959,48.8917656,"16,7"
529,44781617,7202,park,Parc Diderot,2.249434,48.8920945,"16,7"
530,44781617,7202,park,Parc Diderot,2.2495571,48.8922645,"17,7"
531,44781617,7202,park,Parc Diderot,2.2497638,48.8925499,"17,7"
532,44781617,7202,park,Parc Diderot,2.2499512,48.8924975,"17,7"
533,44781617,7202,park,Parc Diderot,2.2506682,48.892297,"17,7"
534,44781617,7202,park,Parc Diderot,2.2507927,48.8924667,"17,7"
535,44781617,7202,park,Parc Diderot,2.251296,48.8923089,"18,7"
536,44781617,7202,park,Parc Diderot,2.2509764,48.8918586,"18,7"
537,44781617,7202,park,Parc Diderot,2.2508335,48.8916572,"17,6"
