,id,datetime,year,month,day_of_month,day_of_week,hour,minute,second,text,user_id,name,screen_name,follower_count,status_count,lang,lat,lng
25,1.49E+18,2022/1/26 19:11,2022,1,26,2,19,11,12,Vient de publier une photo à Centre Pompidou https://t.co/VE10fMxrXS,2861038929,arty & gastronomy,arty_gastronomy,69,1276,,48.860516,2.351733
28,1.49E+18,2022/1/26 19:11,2022,1,26,2,19,11,57,Vient de publier une photo à Centre Pompidou https://t.co/fEqFHPsJVN,2861038929,arty & gastronomy,arty_gastronomy,69,1281,,48.860516,2.351733
64,1.49E+18,2022/1/27 12:19,2022,1,27,3,12,19,33,Art contemporain 1 馃帹馃懆馃徏鈥嶐�?�?Centre Pompidou https://t.co/bYycOGQL69,1.18E+18,Le 銆斤�?Mehmet_Polat_10,48,862,,,48.86051583,2.351733
67,1.49E+18,2022/1/27 12:28,2022,1,27,3,12,28,40,L鈥檃rt contemporain 2 馃帹馃懆馃徏鈥嶐�?�?Centre Pompidou https://t.co/2WBKKcq8rC,1.18E+18,Le 銆斤�?Mehmet_Polat_10,47,863,,,48.86051583,2.351733
84,1.49E+18,2022/1/27 13:54,2022,1,27,3,13,54,24,The Matisse called the Romanian shirt and the Romanian shirt by Yves Saint Laurent inspired by Matisse�?https://t.co/wJvgH3RSvq,121042325,judith benhamou-huet 灞呰拏涓?judithbenhamou,5346,12378,,,48.86051583,2.351733
87,1.49E+18,2022/1/27 13:59,2022,1,27,3,13,59,40,Imaginary dialogue between Etel Adnan and Yves Saint Laurent @centrepompidou #judithbenhamouhuetreports�?https://t.co/TNpv6OLIIi,121042325,judith benhamou-huet 灞呰拏涓?judithbenhamou,5346,12380,,,48.86051583,2.351733
110,1.49E+18,2022/1/27 16:29,2022,1,27,3,16,29,43,Vient de publier une photo �?France https://t.co/VdX53KB2jq,1.47E+18,Haschill,haschillcbd,0,14,,48.856316,2.351192
1,1.49E+18,2022/1/26 14:54,2022,1,26,2,14,54,54,"Art and fashion are seamless - Schiaparelli Haute Couture 2022

#darrenransdelldesign #schiaparelli #huatecouture�?https://t.co/ZdL0hoY59j",24829139,DarrenRansdellDesign,DarrenRansdell,375,3399,,48.8567,2.3508
17,1.49E+18,2022/1/26 17:53,2022,1,26,2,17,53,59,"23th Birthday 🎂 
——�?
Après ça on devient des chefs👑
📸 @_renzag à Paris, France https://t.co/OK6WOdNgEz",1405102669,Jonathan Seboun,HayronSJ,9225,36638,,48.8567,2.3508
27,1.49E+18,2022/1/26 19:11,2022,1,26,2,19,11,47,Vient de publier une photo à 𝑷𝑨𝑹𝑨𝑫𝑰𝑺𝑬 https://t.co/XqmnE6A8Kr,2861038929,arty & gastronomy,arty_gastronomy,69,1280,,48.8567,2.3508
30,1.49E+18,2022/1/26 19:22,2022,1,26,2,19,22,27,"@velibmetropole
2022-01-26 à Paris, France https://t.co/QZ2Zm1EnMm",1.43E+18,photo.svkru,photosvkru,6,3070,,48.8567,2.3508
31,1.49E+18,2022/1/26 19:31,2022,1,26,2,19,31,51,"Hat gerade ein Foto gepostet @ Paris, France https://t.co/c9kT7UQvuO",1.08E+18,wearetravelgays,wearetravelgays,281,4670,,48.8567,2.3508
42,1.49E+18,2022/1/26 19:58,2022,1,26,2,19,58,21,"C’est ce week-end 
Escale à Paris sur E-Amui
je serais en direct d’un endroit de la capitale .... surprise !!! 🇵🇫🇵🇫�?https://t.co/Ga7J2M2iar",8.47E+17,Vikura Tahiti Inc.,vikuratahiti,21,302,,48.8567,2.3508
43,1.49E+18,2022/1/26 19:58,2022,1,26,2,19,58,34,Muse live by HP #dronesworldtour #paris #2016 #livephotography #bandphotographer #muse #drones #matthewbellamy�?https://t.co/V4d678HIbO,54327714,Hans-Peter,hapevv,2879,14262,,48.8567,2.3508
44,1.49E+18,2022/1/26 20:01,2022,1,26,2,20,1,21,"Good morning Paris.
Image courtesy @xeniaadonts 
#hlgrafdesign #interiordesign #frenchmodernism #modernorganic�?https://t.co/GoCqAx1sJN",95189207,Heidi Graf,hgraf21,71,419,,48.8567,2.3508
45,1.49E+18,2022/1/26 20:05,2022,1,26,2,20,5,47,"#parisjetaime @ Paris, France https://t.co/Xjiw5iIWIz",20234335,Oleg Kapush,inviz3000,679,5635,,48.8567,2.3508
49,1.49E+18,2022/1/26 20:56,2022,1,26,2,20,56,22,"Vient de publier une photo à Paris, France https://t.co/vlGdrGgC9F",4338532889,OéBa Escaliers à votre mesure,OebaEscalier,543,841,,48.8567,2.3508
52,1.49E+18,2022/1/26 20:59,2022,1,26,2,20,59,51,"Vient de publier une photo à Paris, France https://t.co/mCoqedQwiC",1021521306,Kevin G Cordoba,KevinGCordoba,708,1253,,48.8567,2.3508
66,1.49E+18,2022/1/27 12:28,2022,1,27,3,12,28,0,"Vient de publier une photo �?Paris, France https://t.co/od8idnkSwU",1.44E+18,R茅mi,remthse,32,46,,48.8567,2.3508
69,1.49E+18,2022/1/27 12:33,2022,1,27,3,12,33,34,"Hat gerade ein Foto gepostet @ Paris, France https://t.co/MTHjhdvgFI",1.08E+18,wearetravelgays,wearetravelgays,281,4671,,48.8567,2.3508
71,1.49E+18,2022/1/27 12:44,2022,1,27,3,12,44,12,"!Feliz #jueves! en Par铆s, France https://t.co/aUGrtLcsNS",56218338,Juan Moreno,Blogaraje,2576,35773,,48.8567,2.3508
72,1.49E+18,2022/1/27 12:47,2022,1,27,3,12,47,0,"Walking the #line. @ Paris, France https://t.co/UglSzPqIds",26219347,GH Betbeze,ghbetbeze,784,18602,,48.8567,2.3508
78,1.49E+18,2022/1/27 13:37,2022,1,27,3,13,37,3,"Just posted a photo @ Paris, France https://t.co/Op0cOkDNTc",95087359,ricardofernandes,rf_artgallery,195,4587,,48.8567,2.3508
79,1.49E+18,2022/1/27 13:38,2022,1,27,3,13,38,30,"Just posted a photo @ Paris, France https://t.co/99V47ZRSo3",95087359,ricardofernandes,rf_artgallery,195,4588,,48.8567,2.3508
81,1.49E+18,2022/1/27 13:39,2022,1,27,3,13,39,39,"Just posted a photo @ Paris, France https://t.co/eaLv5Q0tWb",95087359,ricardofernandes,rf_artgallery,195,4589,,48.8567,2.3508
88,1.49E+18,2022/1/27 14:00,2022,1,27,3,14,0,32,Erick #Paris #streetphotography #internationalstreetphotography #picoftheday #blackandwhite #noiretblanc�?https://t.co/WKB8cfhGCs,109061885,ariel arias,locofotocuba66,620,2754,,48.8567,2.3508
90,1.49E+18,2022/1/27 14:03,2022,1,27,3,14,3,48,"#cammodel #photography #photooftheday #followme #sexylingerie #toysaddict #sexadicts �?Paris, France https://t.co/t1zE4XPEi6",1.48E+18,Aaa maayaa,maayaa_aaa,10,52,,48.8567,2.3508
94,1.49E+18,2022/1/27 14:21,2022,1,27,3,14,21,19,"Vient de publier une photo �?Paris, France https://t.co/YrtUHYgAST",7.00E+17,Laurent Danquigny,PhotoHome_fr,368,160,,48.8567,2.3508
105,1.49E+18,2022/1/27 16:25,2022,1,27,3,16,25,14,"@edfofficiel
2022-01-27 �?Paris, France https://t.co/Pxagfcubma",1.43E+18,photo.svkru,photosvkru,6,3095,,48.8567,2.3508
