grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"7,3",2.23627325,48.88871212,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,5
"9,3",2.23909705,48.88871212,Health and Medicine,Retail,Arts and Entertainment,Travel and Transportation,Business and Professional Services,Community and Government,1
"10,3",2.24050895,48.88871212,Community and Government,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,Landmarks and Outdoors,3
"11,3",2.24192085,48.88871212,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Community and Government,Education,5
"12,3",2.24333275,48.88871212,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,5
"13,3",2.24474465,48.88871212,Community and Government,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,Landmarks and Outdoors,3
"15,3",2.24756845,48.88871212,Retail,Arts and Entertainment,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education,1
"16,3",2.24898035,48.88871212,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,5
"17,3",2.25039225,48.88871212,Community and Government,Arts and Entertainment,Business and Professional Services,Education,Health and Medicine,Landmarks and Outdoors,3
"18,3",2.25180415,48.88871212,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,1
"0,4",2.22638995,48.88964758,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"1,4",2.22780185,48.88964758,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"3,4",2.23062565,48.88964758,Retail,Community and Government,Health and Medicine,Arts and Entertainment,Business and Professional Services,Education,2
"4,4",2.23203755,48.88964758,Health and Medicine,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,1
"5,4",2.23344945,48.88964758,Education,Arts and Entertainment,Business and Professional Services,Community and Government,Health and Medicine,Landmarks and Outdoors,4
"6,4",2.23486135,48.88964758,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"8,4",2.23768515,48.88964758,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"9,4",2.23909705,48.88964758,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,2
"10,4",2.24050895,48.88964758,Business and Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,5
"11,4",2.24192085,48.88964758,Health and Medicine,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,1
"12,4",2.24333275,48.88964758,Business and Professional Services,Retail,Arts and Entertainment,Community and Government,Education,Health and Medicine,1
"13,4",2.24474465,48.88964758,Landmarks and Outdoors,Retail,Community and Government,Arts and Entertainment,Business and Professional Services,Education,1
"14,4",2.24615655,48.88964758,Health and Medicine,Retail,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,1
"15,4",2.24756845,48.88964758,Retail,Health and Medicine,Community and Government,Education,Arts and Entertainment,Business and Professional Services,1
"16,4",2.24898035,48.88964758,Landmarks and Outdoors,Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,0
"17,4",2.25039225,48.88964758,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,5
"18,4",2.25180415,48.88964758,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,2
"19,4",2.25321605,48.88964758,Retail,Arts and Entertainment,Health and Medicine,Business and Professional Services,Community and Government,Education,1
"1,5",2.22780185,48.89058304,Arts and Entertainment,Education,Travel and Transportation,Business and Professional Services,Community and Government,Health and Medicine,5
"2,5",2.22921375,48.89058304,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,1
"3,5",2.23062565,48.89058304,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Health and Medicine,0
"6,5",2.23486135,48.89058304,Retail,Retai,Arts and Entertainment,Business and Professional Services,Community and Government,Education,2
"7,5",2.23627325,48.89058304,Retail,Landmarks and Outdoors,Arts and Entertainment,Business and Professional Services,Community and Government,Education,2
