grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"18,3",2.25180415,48.88871212,scrub,roof, apartments,recreation_ground,hotel,house,3
"19,3",2.25321605,48.88871212,scrub,grass,residential,hotel,house,industrial,3
"0,4",2.22638995,48.88964758, grass,residential, apartments,retail,house,industrial,3
"1,4",2.22780185,48.88964758,residential, grass, apartments,retail,house,industrial,3
"2,4",2.22921375,48.88964758,residential,apartments, grass, apartments,retail,house,3
"3,4",2.23062565,48.88964758,apartments,forest, apartments,residential,house,industrial,0
"4,4",2.23203755,48.88964758,apartments,residential, apartments,retail,house,industrial,0
"5,4",2.23344945,48.88964758,residential, apartments,hotel,house,industrial,meadow,3
"6,4",2.23486135,48.88964758,grass,tower,residential,hotel,house,industrial,1
"7,4",2.23627325,48.88964758,grass,commercial,tower, apartments,recreation_ground,house,1
"8,4",2.23768515,48.88964758,grass,commercial, apartments,residential,house,industrial,1
"9,4",2.23909705,48.88964758,grass,tower,office,commercial, office, apartments,1
"10,4",2.24050895,48.88964758,scrub,office,tower,commercial,grass, apartments,3
"11,4",2.24192085,48.88964758,scrub,tower,grass,recreation_ground,hotel,house,3
"12,4",2.24333275,48.88964758,grass,scrub,tower,office,recreation_ground,hotel,1
"13,4",2.24474465,48.88964758,apartments,tower, apartments,residential,house,industrial,0
"14,4",2.24615655,48.88964758,scrub,apartments,grass, apartments,residential,house,3
"15,4",2.24756845,48.88964758,scrub,grass,apartments,allotments,office, apartments,3
"16,4",2.24898035,48.88964758,scrub,office,grass,residential,hotel,house,3
"17,4",2.25039225,48.88964758,tower,grass,office,residential,hotel,house,1
"18,4",2.25180415,48.88964758,tower,scrub,park,industrial, apartments,recreation_ground,3
"19,4",2.25321605,48.88964758,retail,church,park,tower,scrub,residential,3
"0,5",2.22638995,48.89058304,residential, grass,park,allotments, apartments,retail,3
"1,5",2.22780185,48.89058304,residential, grass,allotments, apartments,retail,house,3
"2,5",2.22921375,48.89058304,apartments,residential, apartments,retail,house,industrial,0
"3,5",2.23062565,48.89058304,apartments,grass,residential, apartments,house,industrial,0
"4,5",2.23203755,48.89058304,grass,office,residential,apartments, apartments,house,1
"5,5",2.23344945,48.89058304,grass,office,residential,hotel,house,industrial,1
"6,5",2.23486135,48.89058304,grass,commercial, commercial,tower,scrub,roof,3
"7,5",2.23627325,48.89058304,roof,commercial, commercial,scrub,comercial,recreation_ground,3
"8,5",2.23768515,48.89058304, commercial,commercial,grass,hotel,house,industrial,3
"9,5",2.23909705,48.89058304,office,commercial, commercial, office,tower,roof,2
"10,5",2.24050895,48.89058304,office,roof,commercial,tower, apartments,recreation_ground,2
"11,5",2.24192085,48.89058304,grass,scrub,tower,office,commercial, apartments,1
"12,5",2.24333275,48.89058304,office, apartments,residential,hotel,house,industrial,2
"13,5",2.24474465,48.89058304,office,scrub,grass,residential,hotel,house,2
"14,5",2.24615655,48.89058304,grass,scrub,office,residential,hotel,house,1
"15,5",2.24756845,48.89058304,tower,apartments,office, apartments,residential,house,3
"16,5",2.24898035,48.89058304,office,scrub,grass,residential,hotel,house,2
"17,5",2.25039225,48.89058304,office,scrub,grass,school,recreation_ground,hotel,2
"18,5",2.25180415,48.89058304,scrub,grass,industrial,office,school,park,3
"19,5",2.25321605,48.89058304,grass,scrub,office,industrial,residential,hotel,1
"0,6",2.22638995,48.8915185,residential,park,allotments,grass, apartments,house,3
"1,6",2.22780185,48.8915185,residential,park,allotments, apartments,retail,house,3
"2,6",2.22921375,48.8915185,grass,tower,residential,hotel,house,industrial,1
"3,6",2.23062565,48.8915185,grass,scrub,tower,office,recreation_ground,hotel,1
"4,6",2.23203755,48.8915185,grass,office,scrub,residential,hotel,house,1
"5,6",2.23344945,48.8915185,grass,office,residential,hotel,house,industrial,1
"6,6",2.23486135,48.8915185,grass, commercial,commercial,roof,recreation_ground,hotel,1
"7,6",2.23627325,48.8915185,roof,scrub,commercial, commercial,comercial,recreation_ground,3
"8,6",2.23768515,48.8915185,scrub,office,commercial, commercial,roof,recreation_ground,3
"9,6",2.23909705,48.8915185,commercial,office, apartments,residential,house,industrial,2
"10,6",2.24050895,48.8915185,scrub, commercial,office,commercial,recreation_ground,hotel,3
"11,6",2.24192085,48.8915185,grass, commercial,scrub,recreation_ground,hotel,house,1
"12,6",2.24333275,48.8915185,office,grass, commercial,residential,hotel,house,2
"13,6",2.24474465,48.8915185,office,tower,scrub, apartments,recreation_ground,hotel,2
"14,6",2.24615655,48.8915185,grass,office,tower,residential,hotel,house,1
"15,6",2.24756845,48.8915185,grass,scrub,roof,retail,stadium,public,1
"16,6",2.24898035,48.8915185,grass,scrub,office,residential,hotel,house,1
"17,6",2.25039225,48.8915185,school,grass,office,park,residential,hotel,3
"18,6",2.25180415,48.8915185,school,park,grass,residential,hotel,house,3
