grid,longitude,latitude,1st Most poi Type,2nd Most poi Type,3rd Most poi Type,4th Most poi Type,5th Most poi Type,6th Most poi Type,Cluster Labels
"1,4",2.22780185,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"2,4",2.22921375,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"3,4",2.23062565,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"5,4",2.23344945,48.88964758,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"6,4",2.23486135,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"7,4",2.23627325,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"8,4",2.23768515,48.88964758,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"9,4",2.23909705,48.88964758,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,3
"10,4",2.24050895,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"11,4",2.24192085,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"12,4",2.24333275,48.88964758,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"13,4",2.24474465,48.88964758,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"14,4",2.24615655,48.88964758,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Business and_Professional Services,Community and Government,0
"15,4",2.24756845,48.88964758,Retail,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,0
"16,4",2.24898035,48.88964758,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"17,4",2.25039225,48.88964758,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"18,4",2.25180415,48.88964758,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"19,4",2.25321605,48.88964758,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"0,5",2.22638995,48.89058304,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"1,5",2.22780185,48.89058304,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"2,5",2.22921375,48.89058304,Business and_Professional Services,Arts and Entertainment,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,1
"4,5",2.23203755,48.89058304,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"5,5",2.23344945,48.89058304,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"6,5",2.23486135,48.89058304,Business and_Professional Services,Landmarks and Outdoors,Arts and Entertainment,Community and Government,Education,Health and Medicine,0
"7,5",2.23627325,48.89058304,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"8,5",2.23768515,48.89058304,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,Landmarks and Outdoors,0
"9,5",2.23909705,48.89058304,Retail,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,0
"10,5",2.24050895,48.89058304,Arts and Entertainment,Landmarks and Outdoors,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"11,5",2.24192085,48.89058304,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Community and Government,Education,Health and Medicine,0
"12,5",2.24333275,48.89058304,Landmarks and Outdoors,Arts and Entertainment,Business and_Professional Services,Retail,Travel and Transportation,Community and Government,0
