FID,osm_id,code,fclass,name,longitude,latitude,grid
1563,6697039571,2907,camera_surveillance, ,2.232361,48.891599,"4,6"
0,154291007,2301,restaurant,Le Valmy (brasserie),2.231641,48.892293,"4,7"
551,1984211762,2907,camera_surveillance, ,2.232492,48.891793,"4,7"
1490,6010240589,2902,bench, ,2.232109,48.89243,"4,7"
1589,6775207415,2907,camera_surveillance, ,2.231376,48.891834,"4,7"
1357,5309090117,2902,bench, ,2.231936,48.893436,"4,8"
1358,5309090118,2902,bench, ,2.2319,48.893447,"4,8"
1359,5309090119,2902,bench, ,2.231863,48.893456,"4,8"
1360,5309090120,2902,bench, ,2.231837,48.893465,"4,8"
1482,6009644596,2903,drinking_water, ,2.231295,48.893456,"4,8"
1489,6010239980,2902,bench, ,2.231768,48.893156,"4,8"
1786,8644680439,2725,artwork,Scratching the surface,2.231847,48.893384,"4,8"
47,596743752,2724,memorial,Monuments aux morts pour la France,2.232531,48.893893,"4,9"
1484,6009644598,2906,waste_basket, ,2.231532,48.893593,"4,9"
1485,6009644599,2906,waste_basket, ,2.23155,48.893588,"4,9"
1076,3175598981,2511,convenience,AZMARKET,2.234022,48.886053,"5,0"
1131,3643120025,2032,recycling_paper, ,2.232964,48.886758,"5,1"
119,1191784498,2907,camera_surveillance, ,2.233138,48.887968,"5,2"
123,1192732961,2031,recycling_glass, ,2.233765,48.887641,"5,2"
1280,4367386009,2907,camera_surveillance, ,2.233139,48.887968,"5,2"
17,227420651,2083,kindergarten,Crèche des Jardins,2.233339,48.889612,"5,4"
550,1984211761,2907,camera_surveillance, ,2.233173,48.890921,"5,6"
552,1984216193,2907,camera_surveillance, ,2.233613,48.892594,"5,7"
553,1984216244,2907,camera_surveillance, ,2.234049,48.892227,"5,7"
554,1984216353,2907,camera_surveillance, ,2.233756,48.892333,"5,7"
1770,8383788634,2725,artwork, ,2.233893,48.892269,"5,7"
1784,8641700148,2725,artwork,La voiture sur le lampadaire,2.233982,48.892438,"5,7"
180,1506814102,2906,waste_basket, ,2.233785,48.893038,"5,8"
1785,8642547320,2725,artwork,Slinky,2.23351,48.893085,"5,8"
1414,5584052866,2083,kindergarten,Crèche Les 3 Ours,2.234401,48.886057,"6,0"
384,1930418861,2907,camera_surveillance, ,2.235246,48.894542,"6,10"
420,1935129035,2907,camera_surveillance, ,2.235391,48.894923,"6,10"
421,1935129067,2907,camera_surveillance, ,2.235206,48.894886,"6,10"
595,2002490982,2907,camera_surveillance, ,2.235385,48.894635,"6,10"
412,1933603404,2907,camera_surveillance, ,2.234791,48.896046,"6,11"
413,1933603418,2907,camera_surveillance, ,2.23491,48.895887,"6,11"
414,1933603432,2907,camera_surveillance, ,2.235058,48.895688,"6,11"
415,1933603444,2907,camera_surveillance, ,2.235249,48.89574,"6,11"
422,1935129095,2907,camera_surveillance, ,2.234737,48.895942,"6,11"
423,1935129121,2907,camera_surveillance, ,2.234799,48.895855,"6,11"
425,1935818468,2252,pitch, ,2.234667,48.895885,"6,11"
40,569952800,2502,bakery,La Joconde,2.234749,48.896365,"6,12"
560,1988202607,2561,hairdresser,Franck Provost,2.234695,48.896432,"6,12"
561,1988202627,2568,laundry,Laverie,2.234921,48.896509,"6,12"
562,1988202663,2568,laundry,5àsec,2.235024,48.89639,"6,12"
563,1988202693,2302,fast_food,Grill Dehliz,2.235278,48.896461,"6,12"
690,2696370579,2205,playground, ,2.235205,48.887369,"6,2"
548,1984203937,2907,camera_surveillance, ,2.235481,48.89072,"6,5"
549,1984211759,2907,camera_surveillance, ,2.234143,48.890593,"6,5"
1491,6015044810,2593,vending_any, ,2.235463,48.890701,"6,5"
1492,6015044811,2593,vending_any, ,2.235482,48.890702,"6,5"
1712,7768954429,2203,cinema,UGC Ciné Cité La Défense,2.23532,48.891095,"6,6"
382,1930418831,2907,camera_surveillance, ,2.23456,48.89242,"6,7"
1771,8383788635,2906,waste_basket, ,2.234514,48.892178,"6,7"
1772,8383788636,2906,waste_basket, ,2.234568,48.892059,"6,7"
381,1930418829,2907,camera_surveillance, ,2.235271,48.893242,"6,8"
1768,8299883212,2542,bicycle_shop,Atelier Cyclofix,2.234782,48.892724,"6,8"
689,2696362685,2004,post_box, ,2.236152,48.88586,"7,0"
383,1930418843,2907,camera_surveillance, ,2.235745,48.894459,"7,10"
385,1930418874,2907,camera_surveillance, ,2.235582,48.894447,"7,10"
388,1930418903,2907,camera_surveillance, ,2.235923,48.894981,"7,10"
389,1930418909,2907,camera_surveillance, ,2.236049,48.89472,"7,10"
419,1935129014,2907,camera_surveillance, ,2.236365,48.894968,"7,10"
592,2002490785,2907,camera_surveillance, ,2.236813,48.894517,"7,10"
593,2002490877,2907,camera_surveillance, ,2.236669,48.894627,"7,10"
594,2002490927,2907,camera_surveillance, ,2.236089,48.894683,"7,10"
301,1877495266,2907,camera_surveillance, ,2.23656,48.895498,"7,11"
302,1877495295,2907,camera_surveillance, ,2.236366,48.895593,"7,11"
410,1933603354,2907,camera_surveillance, ,2.235528,48.896204,"7,11"
411,1933603369,2907,camera_surveillance, ,2.235515,48.896202,"7,11"
416,1933603460,2907,camera_surveillance, ,2.236042,48.895919,"7,11"
417,1933603476,2907,camera_surveillance, ,2.236043,48.89592,"7,11"
418,1933603486,2907,camera_surveillance, ,2.23638,48.895967,"7,11"
1527,6293245082,2902,bench, ,2.236665,48.895849,"7,11"
1528,6293292090,2902,bench, ,2.236755,48.89588,"7,11"
29,431622746,2601,bank,CIC,2.236865,48.896892,"7,12"
132,1271510647,2907,camera_surveillance, ,2.23676,48.896671,"7,12"
133,1271510650,2907,camera_surveillance, ,2.236881,48.89645,"7,12"
280,1795167319,2101,pharmacy,Pharmacie Léonard de Vinci,2.236445,48.896785,"7,12"
404,1933603233,2907,camera_surveillance, ,2.236884,48.896451,"7,12"
405,1933603253,2907,camera_surveillance, ,2.236767,48.896674,"7,12"
406,1933603292,2907,camera_surveillance, ,2.236263,48.896436,"7,12"
407,1933603302,2907,camera_surveillance, ,2.23655,48.896489,"7,12"
408,1933603327,2907,camera_surveillance, ,2.236135,48.896373,"7,12"
409,1933603337,2907,camera_surveillance, ,2.236045,48.896345,"7,12"
558,1988182441,2907,camera_surveillance, ,2.236744,48.896381,"7,12"
1326,4888528008,2303,cafe,Le Vinci,2.235904,48.896635,"7,12"
1621,6838223023,2528,greengrocer,Les Jardins de Courbevoie,2.235506,48.896559,"7,12"
1638,7178203288,2906,waste_basket, ,2.23676,48.896601,"7,12"
