OBJECTID,osm_id,code,fclass,name,type,levels,ORIG_FID,X,Y,grid
54,19446485,1500,building,Tour Atlantique,tower,27.0,1,2.24181589968407,48.88946080037567,"11,4"
55,19449852,1500,building,Opus 12,tower,27.0,2,2.242390599746443,48.889592999817125,"11,4"
56,19449852,1500,building,Opus 12,tower,27.0,2,2.242453000105911,48.88967890036099,"11,4"
57,19449852,1500,building,Opus 12,tower,27.0,2,2.242608400257495,48.889892699788334,"12,4"
58,19449852,1500,building,Opus 12,tower,27.0,2,2.242637600345006,48.889933000207854,"12,4"
59,19449852,1500,building,Opus 12,tower,27.0,2,2.242773499597377,48.8898903003971,"12,4"
60,19449852,1500,building,Opus 12,tower,27.0,2,2.242932300085613,48.88984039971473,"12,4"
61,19449852,1500,building,Opus 12,tower,27.0,2,2.242921699776673,48.889825800120605,"12,4"
62,19449852,1500,building,Opus 12,tower,27.0,2,2.242685199662276,48.88950050004809,"12,4"
63,19449852,1500,building,Opus 12,tower,27.0,2,2.242472099907559,48.88956739971576,"11,4"
64,19449852,1500,building,Opus 12,tower,27.0,2,2.242390599746443,48.889592999817125,"11,4"
65,19450182,1500,building,Ariane,tower,36.0,3,2.243215699844711,48.889331500348526,"12,4"
66,19450182,1500,building,Ariane,tower,36.0,3,2.243386699636517,48.889566299844944,"12,4"
67,19450182,1500,building,Ariane,tower,36.0,3,2.243640500009121,48.88948569990521,"12,4"
68,19450182,1500,building,Ariane,tower,36.0,3,2.243640800382707,48.889485600080434,"12,4"
69,19450182,1500,building,Ariane,tower,36.0,3,2.243649500424169,48.889482799591576,"12,4"
70,19450182,1500,building,Ariane,tower,36.0,3,2.243899400437044,48.88940350007152,"13,4"
71,19450182,1500,building,Ariane,tower,36.0,3,2.244153799758124,48.88932280030707,"13,4"
72,19450182,1500,building,Ariane,tower,36.0,3,2.243982899791035,48.88908809973606,"13,4"
73,19450182,1500,building,Ariane,tower,36.0,3,2.243325599696732,48.889296600357845,"12,4"
74,19450182,1500,building,Ariane,tower,36.0,3,2.243215699844711,48.889331500348526,"12,4"
75,19451629,1500,building,Tour Granite,tower,37.0,4,2.229028700314302,48.89164879965245,"2,6"
76,19451629,1500,building,Tour Granite,tower,37.0,4,2.229028700314302,48.891677300067386,"2,6"
77,19451629,1500,building,Tour Granite,tower,37.0,4,2.229874400283393,48.891971300135424,"2,7"
78,19451629,1500,building,Tour Granite,tower,37.0,4,2.229940299904968,48.891985700080056,"3,7"
79,19451629,1500,building,Tour Granite,tower,37.0,4,2.229943600416846,48.89198639975263,"3,7"
80,19451629,1500,building,Tour Granite,tower,37.0,4,2.229985300181511,48.89197299985409,"3,7"
81,19451629,1500,building,Tour Granite,tower,37.0,4,2.230009199664892,48.89194389959136,"3,7"
82,19451629,1500,building,Tour Granite,tower,37.0,4,2.230014000245944,48.89193800003874,"3,7"
83,19451629,1500,building,Tour Granite,tower,37.0,4,2.230022800112181,48.89192739972975,"3,7"
84,19451629,1500,building,Tour Granite,tower,37.0,4,2.230025999900022,48.891845500269646,"3,7"
85,19451629,1500,building,Tour Granite,tower,37.0,4,2.230038700125931,48.89159350033981,"3,6"
86,19451629,1500,building,Tour Granite,tower,37.0,4,2.230030400282772,48.89159379981408,"3,6"
87,19451629,1500,building,Tour Granite,tower,37.0,4,2.23003019973396,48.89161799967098,"3,6"
88,19451629,1500,building,Tour Granite,tower,37.0,4,2.229976100116971,48.89161920026595,"3,6"
89,19451629,1500,building,Tour Granite,tower,37.0,4,2.229977000338351,48.89158969980485,"3,6"
90,19451629,1500,building,Tour Granite,tower,37.0,4,2.229973199803396,48.891564999924874,"3,6"
91,19451629,1500,building,Tour Granite,tower,37.0,4,2.229962499669682,48.8915228999619,"3,6"
92,19451629,1500,building,Tour Granite,tower,37.0,4,2.229949999992527,48.891525200427736,"3,6"
93,19451629,1500,building,Tour Granite,tower,37.0,4,2.229919899683694,48.89146330009129,"3,6"
94,19451629,1500,building,Tour Granite,tower,37.0,4,2.229917299743647,48.89145789966239,"3,6"
95,19451629,1500,building,Tour Granite,tower,37.0,4,2.229924600440029,48.89145419985152,"3,6"
96,19451629,1500,building,Tour Granite,tower,37.0,4,2.229921499577586,48.891449400169726,"3,6"
97,19451629,1500,building,Tour Granite,tower,37.0,4,2.229848800182026,48.89145910025735,"2,6"
98,19451629,1500,building,Tour Granite,tower,37.0,4,2.229774099794895,48.8914689999944,"2,6"
99,19451629,1500,building,Tour Granite,tower,37.0,4,2.229589399731083,48.891500600372474,"2,6"
100,19451629,1500,building,Tour Granite,tower,37.0,4,2.229354000386877,48.89155310009557,"2,6"
101,19451629,1500,building,Tour Granite,tower,37.0,4,2.229176799769562,48.89160190000774,"2,6"
102,19451629,1500,building,Tour Granite,tower,37.0,4,2.229040399594794,48.891645099841526,"2,6"
103,19451629,1500,building,Tour Granite,tower,37.0,4,2.229028700314302,48.89164879965245,"2,6"
104,19546127,1500,building,Tour EDF,tower,41.0,5,2.241233399801615,48.889641500255095,"11,4"
105,19546127,1500,building,Tour EDF,tower,41.0,5,2.241241800368812,48.88969070036558,"11,4"
106,19546127,1500,building,Tour EDF,tower,41.0,5,2.241263000087429,48.88975369967358,"11,4"
107,19546127,1500,building,Tour EDF,tower,41.0,5,2.241294200267191,48.889810400129925,"11,4"
108,19546127,1500,building,Tour EDF,tower,41.0,5,2.241335999856574,48.889861600332665,"11,4"
109,19546127,1500,building,Tour EDF,tower,41.0,5,2.241374099635038,48.88990089980672,"11,4"
110,19546127,1500,building,Tour EDF,tower,41.0,5,2.241417300368141,48.88993460010175,"11,4"
111,19546127,1500,building,Tour EDF,tower,41.0,5,2.241471499809904,48.88997019976495,"11,5"
112,19546127,1500,building,Tour EDF,tower,41.0,5,2.241539799722034,48.890005099755626,"11,5"
113,19546127,1500,building,Tour EDF,tower,41.0,5,2.241603799975451,48.89003069985699,"11,5"
114,19546127,1500,building,Tour EDF,tower,41.0,5,2.241654099956804,48.89004800011514,"11,5"
115,19546127,1500,building,Tour EDF,tower,41.0,5,2.241688999947428,48.8900554995617,"11,5"
116,19546127,1500,building,Tour EDF,tower,41.0,5,2.241737200011812,48.890063800304176,"11,5"
117,19546127,1500,building,Tour EDF,tower,41.0,5,2.241799899845546,48.8900679003134,"11,5"
118,19546127,1500,building,Tour EDF,tower,41.0,5,2.241813699942327,48.890023999907726,"11,5"
119,19546127,1500,building,Tour EDF,tower,41.0,5,2.241818200149851,48.88999789978328,"11,5"
120,19546127,1500,building,Tour EDF,tower,41.0,5,2.241818799997645,48.88997829995861,"11,5"
121,19546127,1500,building,Tour EDF,tower,41.0,5,2.241816500431185,48.889937299866574,"11,4"
122,19546127,1500,building,Tour EDF,tower,41.0,5,2.241810099956183,48.88990559966373,"11,4"
123,19546127,1500,building,Tour EDF,tower,41.0,5,2.241803700380501,48.88987970008816,"11,4"
124,19546127,1500,building,Tour EDF,tower,41.0,5,2.241786900145371,48.88983569985771,"11,4"
125,19546127,1500,building,Tour EDF,tower,41.0,5,2.241763499785748,48.889793400245246,"11,4"
126,19546127,1500,building,Tour EDF,tower,41.0,5,2.241737100187095,48.88975800023155,"11,4"
127,19546127,1500,building,Tour EDF,tower,41.0,5,2.241703300067286,48.88971769981202,"11,4"
128,19546127,1500,building,Tour EDF,tower,41.0,5,2.24166940012276,48.88968549958616,"11,4"
129,19546127,1500,building,Tour EDF,tower,41.0,5,2.241616199827831,48.889645899738525,"11,4"
130,19546127,1500,building,Tour EDF,tower,41.0,5,2.241561399638954,48.889612800190605,"11,4"
131,19546127,1500,building,Tour EDF,tower,41.0,5,2.241499699851318,48.88958250023228,"11,4"
132,19546127,1500,building,Tour EDF,tower,41.0,5,2.241458699759221,48.88956660021847,"11,4"
133,19546127,1500,building,Tour EDF,tower,41.0,5,2.241417300368141,48.88955189990031,"11,4"
134,19546127,1500,building,Tour EDF,tower,41.0,5,2.241367299861054,48.889536900107885,"11,4"
135,19546127,1500,building,Tour EDF,tower,41.0,5,2.241335800207082,48.88952920011258,"11,4"
136,19546127,1500,building,Tour EDF,tower,41.0,5,2.241305699898192,48.8895226998128,"11,4"
137,19546127,1500,building,Tour EDF,tower,41.0,5,2.241248299769268,48.88951489999272,"11,4"
138,19546127,1500,building,Tour EDF,tower,41.0,5,2.241240400124411,48.88955120022774,"11,4"
139,19546127,1500,building,Tour EDF,tower,41.0,5,2.241235499718584,48.88957880042136,"11,4"
140,19546127,1500,building,Tour EDF,tower,41.0,5,2.241234300022995,48.88959220031984,"11,4"
141,19546127,1500,building,Tour EDF,tower,41.0,5,2.241233399801615,48.889641500255095,"11,4"
142,21145238,1500,building,Le D?me,commercial,0.0,6,2.235855400006756,48.8905162995876,"7,5"
143,21145238,1500,building,Le D?me,commercial,0.0,6,2.235928200126409,48.89078249981259,"7,5"
144,21145238,1500,building,Le D?me,commercial,0.0,6,2.236038699826167,48.890933899779725,"7,6"
145,21145238,1500,building,Le D?me,commercial,0.0,6,2.236201499599588,48.89108369985291,"7,6"
146,21145238,1500,building,Le D?me,commercial,0.0,6,2.23701750035741,48.890828099936925,"8,5"
147,21145238,1500,building,Le D?me,commercial,0.0,6,2.236457800087464,48.89009499958462,"7,5"
148,21145238,1500,building,Le D?me,commercial,0.0,6,2.236327699663661,48.89013780011942,"7,5"
149,21145238,1500,building,Le D?me,commercial,0.0,6,2.236218899682513,48.8901727001101,"7,5"
150,21145238,1500,building,Le D?me,commercial,0.0,6,2.236210400189862,48.89017549969958,"7,5"
151,21145238,1500,building,Le D?me,commercial,0.0,6,2.235868299882156,48.89028610012349,"7,5"
152,21145238,1500,building,Le D?me,commercial,0.0,6,2.235855400006756,48.8905162995876,"7,5"
153,46692183,1500,building, ,government,0.0,7,2.22759789962339,48.89312659981277,"1,8"
154,46692183,1500,building, ,government,0.0,7,2.227641899853836,48.89314409972047,"1,8"
155,46692183,1500,building, ,government,0.0,7,2.227692600033493,48.893154700029406,"1,8"
156,46692183,1500,building, ,government,0.0,7,2.227741300120954,48.8931594997112,"1,8"
157,46692183,1500,building, ,government,0.0,7,2.227782900060845,48.893158600389135,"1,8"
158,46692183,1500,building, ,government,0.0,7,2.227838899945311,48.89315129969276,"1,8"
