grid,gird Longitude,grid Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"14,2",48.88777665,2.24615655,Starbucks,48.888367,2.247405,Coffee Shop
"14,2",48.88777665,2.24615655,Pasta Bella,48.887853,2.247422,Italian Restaurant
"15,2",48.88777665,2.24756845,Ankka,48.88789,2.247593,Fast Food Restaurant
"15,2",48.88777665,2.24756845,Ankka,48.88789,2.247593,Salad Restaurant
"15,2",48.88777665,2.24756845,Cours Michelet,48.8878764,2.247393429,Plaza
"15,2",48.88777665,2.24756845,Duke Burger House,48.88788146,2.247835867,Bar
"15,2",48.88777665,2.24756845,Duke Burger House,48.88788146,2.247835867,Burger Joint
"15,2",48.88777665,2.24756845,Duke Burger House,48.88788146,2.247835867,Fast Food Restaurant
"15,2",48.88777665,2.24756845,Pasta Bella,48.887853,2.247422,Italian Restaurant
"15,2",48.88777665,2.24756845,Apogé,48.888249,2.248301,Wine Store
"15,2",48.88777665,2.24756845,Pizzeria Andréa,48.88792264,2.24819541,Italian Restaurant
"15,2",48.88777665,2.24756845,Starbucks,48.888367,2.247405,Coffee Shop
"15,2",48.88777665,2.24756845,L'Italian Lounge at Sofitel Paris la Défense,48.8884927,2.247458738,Bar
"15,2",48.88777665,2.24756845,Story Place,48.887861,2.24829,Bar
"15,2",48.88777665,2.24756845,Story Place,48.887861,2.24829,Coffee Shop
"15,2",48.88777665,2.24756845,Story Place,48.887861,2.24829,French Restaurant
"15,2",48.88777665,2.24756845,Ma Bento,48.88843762,2.247739434,Fast Food Restaurant
"15,2",48.88777665,2.24756845,Ma Bento,48.88843762,2.247739434,Japanese Restaurant
"15,2",48.88777665,2.24756845,Esplanade du Général de Gaulle,48.88860693,2.248034477,Pedestrian Plaza
"15,2",48.88777665,2.24756845,Passerelle des Vignes,48.88733287,2.247093022,Bridge
"15,2",48.88777665,2.24756845,La Tavola at Sofitel Paris la Défense,48.88831064,2.247691154,Restaurant
"15,2",48.88777665,2.24756845,Pico,48.88845494,2.247789843,Diner
"15,2",48.88777665,2.24756845,Pico,48.88845494,2.247789843,Fast Food Restaurant
"15,2",48.88777665,2.24756845,Pico,48.88845494,2.247789843,Lebanese Restaurant
"15,2",48.88777665,2.24756845,Les Canailles,48.88832718,2.246578038,French Restaurant
"15,2",48.88777665,2.24756845,Passerelle de l'Orme,48.88705316,2.248849869,Bridge
"16,2",48.88777665,2.24898035,Apogé,48.888249,2.248301,Wine Store
"16,2",48.88777665,2.24898035,Story Place,48.887861,2.24829,Bar
"16,2",48.88777665,2.24898035,Story Place,48.887861,2.24829,Coffee Shop
"16,2",48.88777665,2.24898035,Story Place,48.887861,2.24829,French Restaurant
"16,2",48.88777665,2.24898035,Bassin Takis,48.88797203,2.25030899,Fountain
